,composers,maladies
0,Modest Mussorgsky,Alcoholism
1,Felix Mendelssohn,Aneurysm
2,Allan Pettersson,Arthritis
3,Johann Sebastian Bach,Blindness
4,George Frederick Handel,Blindness
5,John Stanley,Blindness
6,Louis Vierne,Blindness
7,Jean Langlais,Blindness
8,Maurice Ravel,Brain Injury 
9,George Gershwin,Brain Tumor
10,Robert Schumann,Depression
11,Pyotr Il'yich Tchaikovsky,Depression
12,Sergei Rachmaninov,Depression
13,Orlande de Lassus,Depression
14,Carlo Gesualdo,Depression
15,John Dowland,Depression
16,Hector Berlioz,Depression
17,Mikhail Glinka,Depression
18,Anton Bruckner,Depression
19,Anton Arensky,Depression
20,Hugo Wolf,Depression
21,Charles Ives,Depression
22,Jeremiah Clarke,Depression
23,Peter Warlock,Heart Disease
24,Gustav Mahler,Migraines 
25,Hildegard von Bingen,Quinsy
26,Georges Bizet,Syphilis
27,Franz Schubert,Syphilis
28,E T A Hoffmann,Syphilis
29,Gaspare Spontini,Syphilis
30,Gaetano Donizetti,Syphilis
31,Mikhail Glinka,Syphilis
32,Bedrich Smetana,Syphilis
33,Hugo Wolf,Syphilis
34,Frederick Delius,Syphilis
35,Edward Macdowell,Syphilis
36,Scott Joplin,Syphilis
37,Alexander Scriabin,Syphilis
38,Arnold Schoenberg,Triskaidekaphobia
39,Henry Purcell,Tuberculosis
40,Luigi Boccherini,Tuberculosis
41,Giovanni Battista Pergolesi,Tuberculosis
42,Carl Maria von Weber,Tuberculosis
43,Ferdinand Hérold,Tuberculosis
44,Niccolò Paganini,Tuberculosis
45,Frédéric Chopin,Tuberculosis
46,Stephen Collins Foster,Tuberculosis
47,Karol Szymanowski,Tuberculosis
48,Igor Stravinsky,Tuberculosis
49,Ludwig van Beethoven,Deafness
50,Anton Bruckner,Obsessive-Compulsive Disorder
51,Wolfgang Amadeus Mozart,Rheumatic Fever
52,Ludwig van Beethoven,Syphilis
53,Wolfgang Amadeus Mozart,Syphilis
54,Robert Schumann,Syphilis
